batch_size,run,latency_sec,status,response_bytes
10,1,0.028425216674804688,422,926
10,2,0.003512144088745117,422,926
10,3,0.0,422,926
10,4,0.00951695442199707,422,926
10,5,0.00673675537109375,422,926
100,1,0.0,422,9248
100,2,0.011076927185058594,422,9248
100,3,0.0052831172943115234,422,9248
100,4,0.0,422,9248
100,5,0.00567626953125,422,9248
1000,1,0.017961740493774414,422,93352
1000,2,0.03188920021057129,422,93352
1000,3,0.0334169864654541,422,93352
1000,4,0.023656129837036133,422,93352
1000,5,0.02630758285522461,422,93352
10000,1,0.04694676399230957,422,183724
10000,2,0.08991599082946777,422,183724
10000,3,0.04884076118469238,422,183724
10000,4,0.04724264144897461,422,183724
10000,5,0.043157100677490234,422,183724
